"Outcome","Species","Stock.or.Area","Year","Month","Day","Interaction.Type","County.Locale","STATE","Initial.Injury.Assessment","Comments","Final.Injury.Assessment","SI.Criteria.Supporting.Assessment","MSI.Value","COUNT.AGAINST.LOF","COUNT.AGAINST.PBR"
"DEAD","BLUE WHALE","EASTERN NORTH PACIFIC",2018,6,16,"VESSEL STRIKE","SAN FRANCISCO","CA","DEAD","NECROPSY: LARGE AREAS OF MUSCLE HEMORRHAGE ON THE LEFT AND RIGHT DORSO-LATERAL SIDES. HEMORRHAGED TISSUE OBSERVED CAUDAL TO THE GAPE ON THE LEFT SIDE. EXTENSIVE NECROTIC TISSUE WAS NOTED CAUDAL TO THE SKULL AT THE CERVICAL VERTEBRAE. BONE BRUISING WAS OBSERVED ON ALL OF THE RIBS THAT WERE VISUALIZED ON THE LEFT SIDE AND ON THE LEFT MANDIBLE. THERE WAS EXTENSIVE FREE-FLOWING BLOOD OBSERVED WHEN THE RIGHT THORAX WAS OPENED UP. THE FIRST THREE (3) LUMBAR VERTEBRAE WERE SURROUNDED BY NECROTIC TISSUE AND WERE SHATTERED INTO MANY PIECES, INCLUDING FRACTURED LATERAL PROCESSES, FRACTURED CENTRUMS, AND A FRACTURED EPIPHYSEAL PLATE. ALL OTHER VERTEBRAE THAT WERE VISUALIZED WERE INTACT. FINDINGS CONSISTENT WITH VESSEL STRIKE AS CAUSE OF DEATH.","DEAD","NA",1,"N","Y"
"UNKNOWN","BLUE WHALE","EASTERN NORTH PACIFIC",2018,7,16,"UNIDENTIFIED FISHERY INTERACTION","SONOMA","CA","SI (PRORATE)","WHALE TRAILING 2 YELLOW BUOYS APPROXIMATELY 40 FT. BEHIND ANIMAL. AMOUNT AND CONFIGURATION OF GEAR UNKNOWN.","SI (PRORATE)","L10",0.75,"Y","Y"
"DEAD","BLUE WHALE","EASTERN NORTH PACIFIC",2018,9,10,"VESSEL STRIKE","VENTURA","CA","DEAD","ADVANCED DECOMPOSITION.  ADULT MISSING A SUBSTANTIAL PORTION OF ITS LENGTH WITH THE MISSING FLUKE; LOCATED AN AREA THAT LOOKS TO BE A LARGE HEMATOMA JUST ADJACENT TO THE RIGHT PECTORAL FIN. THAT AREA WAS ON THE WATER SIDE OF THE ANIMAL SO WE WEREN'T ABLE TO SPEND TIME THERE. THE TERMINAL END OF THE PEDUNCLE LOOKED AS THOUGH THE FLUKES WERE SEVERED BY A LARGE PROPELLER, AS IT WAS A CLEAN SLICE, AND THERE WAS A ""V"" FLAP THAT WOULD BE CONSISTENT WITH A SPINNING PROPELLER.","DEAD","NA",1,"N","Y"
"DEAD","BLUE WHALE","EASTERN NORTH PACIFIC",2019,6,2,"VESSEL STRIKE","LOS ANGELES","CA","DEAD","WHALE CAME IN ON THE BOW OF A CRUISE SHIP ENTERING LONG BEACH. VESSEL HAD LEFT MEXICO THE PREVIOUS NIGHT. LARGE AREA OF TRAUMA SURROUNDING A CREASE ON THE WHALES BACK JUST IN FRONT OF DORSAL FIN. CREASE WAS ALSO SURROUNDED BY BLUE PAINT. CREASE AND BLUE PAINT ARE LIKELY FROM ANIMAL BEING PINNED TO THE BOW OF THE SHIP. THERE IS HEMORRHAGING OBSERVED ON THE OPPOSITE SIDE OF THE BODY FROM WHERE THE CREASE WAS, IT IS BELIEVED THAT THE VESSEL COLLISION WAS ANTE-MORTEM. RIGHT PECTORAL FLIPPER BROKEN AT INSERTION AND JAWS WERE SEPARATED, BOTH OF THESE ARE BELIEVED TO BE POST-MORTEM.","DEAD","NA",1,"N","Y"
"UNKNOWN","BLUE WHALE","EASTERN NORTH PACIFIC",2020,9,3,"UNIDENTIFIED FISHERY INTERACTION","SANTA BARBARA","CA","NSI","BLUE WHALE WITH HEALING LINEAR SCAR POSTERIOR TO DORSAL FIN THAT APPEARS TO HAVE BEEN CAUSED BY LARGE DIAMETER ROPE OR OTHER ENTANGLING MATERIAL. THERE ARE ALSO RAW ABRASIONS THE LENGTH OF THE CAUDAL PEDUNCLE AND ON THE ANTERIOR MARGIN OF THE DORSAL FIN, INDICATING THAT ENTANGLING MATERIAL SHIFTED TOWARDS THE BACK OF THE WHALE AT SOME POINT. ANOTHER, LARGER DIAMETER INDENTATION IS VISIBLE MID-BODY FROM UAV FOOTAGE, PRESUMABLY FROM THE SAME ENTANGLEMENT. WHALE WAS FREE-SWIMMING WITH NO GEAR ATTACHED, IN APPARENT GOOD HEALTH, DESPITE EVIDENCE OF A PREVIOUS CONSTRICTING ENTANGLEMENT. ASSIGNED NON-SERIOUS INJURY AS THE WHALE IS GEAR FREE AND IN APPARENT GOOD HEALTH. .","NSI","L2",0,"N","N"
NA,"CALIFORNIA SEA LION","U.S.",2018,1,1,"HOOK AND LINE FISHERY","ORANGE","CA","SI","EMACIATED ANIMAL WITH FISH HOOK IN UPPER RIGHT LIP. OUTCOME UNKNOWN.","SI","P5B",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,1,2,"CATCH SHARES BOTTOM TRAWL","OFFSHORE","OR","NSI","ANIMAL ENTANGLED IN NET, BROUGHT ON DECK AND ANIMAL EXITED VESSEL UNDER ITS OWN POWER. OBSERVER PROGRAM.","NSI","P4",0,"N","N"
NA,"CALIFORNIA SEA LION","U.S.",2018,1,9,"HOOK AND LINE FISHERY","SAN DIEGO","CA","SI","EMACIATED ANIMAL WITH FISH HOOK IN UPPER RIGHT LIP. OUTCOME UNKNOWN.","SI","P5B",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,1,15,"SHOOTING","KING","WA","DEAD","ANIMAL IN EXCELLENT BODY CONDITION WITH PENETRATING WOUND TO HEAD FOUND DEAD ON BEACH. MULTIPLE PELLETS / BULLETS FOUND IN HEAD AND NECK ON RADIOGRAPHS. DUE TO FRESHNESS SUSPECT THAT SEA LION WAS LETHALLY SHOT IN CLOSE PROXIMITY TO QUARTERMASTER HARBOR, LESS THEN 2 DAYS PRIOR TO INITIAL REPORT DATE.  RECOVERED OF BULLET #1 WAS SUFFICIENT TO KILL THE SEA LION. OTHER PROJECTILE IS FROM PREVIOUS HUMAN INTERACTIONS AND APPEARS TO HAVE BEEN IN THE SEA LION FOR A WHILE NOT CONSIDERED PART OF THE CAUSE OF DEATH.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,1,20,"MARINE DEBRIS","SONOMA","CA","SI","UNDERWEIGHT ANIMAL WITH WHITE PACKING STRAP WRAPPED LOOSELY AROUND NECK, STRANDED AND RELEASED, LATER RESTRANDED. OUTCOME UNKNOWN.","SI","P8B",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,1,26,"HARASSMENT","MONTEREY","CA","SI","UNAUTHORIZED PICKUP OF MALNOURISHED PUP - MATERNAL SEPARATION. REPORTING PARTY DROVE TO MONTEREY BAY AQUARIUM RESEARCH INSTITUTE WITH ANIMAL AND WAITED FOR TMMC TO PICK UP. FINAL OUTCOME UKNOWN.","SI","P14",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,1,30,"RIDGEBACK PRAWN BOTTOM TRAWL","OFFSHORE","CA","NSI","ANIMAL ENTANGLED IN NET, BROUGHT ON DECK AND ANIMAL EXITED VESSEL UNDER ITS OWN POWER. OBSERVER PROGRAM.","NSI","P4",0,"N","N"
NA,"CALIFORNIA SEA LION","U.S.",2018,1,30,"OPEN ACCESS CA HALIBUT BOTTOM TRAWL","OFFSHORE","CA","DEAD","OBSERVER PROGRAM","DEAD","NA",1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,2,6,"SHOOTING","SAN DIEGO","CA","SI","LETHARGIC AND SLIGHTLY THIN. VERY WEAK. BULLET FOUND IN DIAGNOSTIC RADIOGRAPHS, LOCATED NEAR THE SPINE AT THE NECK, DORSALLY.","DEAD","NA",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,2,6,"OPEN ACCESS CA HALIBUT BOTTOM TRAWL","OFFSHORE","CA","NSI","DETERRENCE USED TO SCARE OFF 5 SEA LIONS FEEDING ON CATCH. NO INJURIES REPORTED. OBSERVER PROGRAM","NSI","P9",0,"N","N"
NA,"CALIFORNIA SEA LION","U.S.",2018,2,7,"HOOK AND LINE FISHERY","SAN DIEGO","CA","SI","SEA LION WITH FISHING LURE IN THE LOWER RIGHT SIDE OF MOUTH. ATTEMPTED A RESCUE, BUT EVADED THE TEAM.","SI","P5A",1,"N","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,2,7,"CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY","OFFSHORE","CA","DEAD","OBSERVER PROGRAM","DEAD","NA",1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,2,7,"CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY","OFFSHORE","CA","DEAD","OBSERVER PROGRAM","DEAD","NA",1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,2,7,"CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY","OFFSHORE","CA","DEAD","OBSERVER PROGRAM","DEAD","NA",1,"Y","Y"
NA,"CALIFORNIA SEA LION","U.S.",2018,2,8,"SHOOTING","PIERCE","WA","DEAD","PENETRATING WOUND IN CHEEK WITH TRACKING HEMORRHAGE. HEMORRHAGE TRACKED TO BULLET IN MUSCLE JUST ANTERIOR TO C4 VERTRABRAE.","DEAD","NA",1,"N","Y"
